bvdid,numberofemployees,date,title,pro,cons,advice,recommend,CEOapproval,outlook,overall_rating,balance,culture,diversity,opportunities,SeniorManagement,compensation,consolidationcode,filingtype,numberofmonths,auditstatus,accountingpractice,sourceforpubliclyquotedcompanies,originalunits,originalcurrency,exchangeratefromoriginalcurrency,fixedassets,intangiblefixedassets,tangiblefixedassets,otherfixedassets,currentassets,stock,debtors,othercurrentassets,cashcashequivalent,shareholdersfunds,capital,othershareholdersfunds,noncurrentliabilities,longtermdebt,othernoncurrentliabilities,provisions,currentliabilities,loans,creditors,othercurrentliabilities,totalsharehfundsliab,workingcapital,netcurrentassets,enterprisevalue,operatingrevenueturnover,costsofgoodssold,grossprofit,otheroperatingexpenses,operatingplebit,financialrevenue,financialexpenses,financialpl,plbeforetax,taxation,plaftertax,extrandotherrevenue,extrandotherexpenses,extrandotherpl,plforperiodnetincome,exportrevenue,materialcosts,costsofemployees,depreciationamortization,interestpaid,researchdevelopmentexpenses,cashflow,addedvalue,ebitda,roeusingplbeforetax,roceusingplbeforetax,roausingplbeforetax,roeusingnetincome,roceusingnetincome,roausingnetincome,profitmargin,grossmargin,ebitdamargin,ebitmargin,cashflowoperatingrevenue,enterprisevalueebitdax,marketcapcashflowfromoperationsx,netassetsturnoverx,interestcoverx,stockturnoverx,collectionperioddays,creditperioddays,exportrevenueoperatingrevenue,rdexpensesoperatingrevenue,currentratiox,liquidityratiox,shareholdersliquidityratiox,solvencyratioassetbased,solvencyratioliabilitybased,gearing,profitperemployeeth,operatingrevenueperemployeeth,costsofemployeesoperatingrevenue,averagecostofemployeeth,shareholdersfundsperemployeeth,workingcapitalperemployeeth,totalassetsperemployeeth,estimatedoperatingrevenue,estimatedemployees,operatingrevenueoriginalrangeval,employeesoriginalrangevalue,name_internat,streetnobuildingetcline1,streetnobuildingetcline2,streetnobuildingetcline3,streetnobuildingetcline4,postcode,city,country,countryisocode,metropolitanareainus,stateorprovinceinusorcanada,countyinusorcanada,regionincountry,typeofregionincountry,latitude,longitude,previouscompanyname,namechangedate,statusdate,standardisedlegalform,nationallegalform,sameorsimilarnameinthelexisnexis,dateofincorporation,stateofincorporationinus,typeofentity,listeddelistedunlisted,delisteddate,mainexchange,ipodate,year,month,month2,post,treatment_firm,start,distance_threshold,firmno,word_gender,word_pay_gap,word_men,word_women,word_female,word_culture,word_bias,word_discriminate,sum_words,high_or_per_empl,high_profit_margin,high_employee_cost,switchers,cost_employees_new_2019,cost_employees_new_2016,_merge,extreme_change_pre_post,pos_extreme_change_pre_post,neg_extreme_change_pre_post,extreme_change_post,pos_extreme_change_post,neg_extreme_change_post
GB00138691,284,11/20/2013,"Learned a lot on the job, more than any other entry level.","Small company feel, good location, learn a lot on the job.",hours get rough and expectations are high,N/A,1,1,,4,3,4,,5,3,3,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2013,11,646,0,1,2,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,5/27/2014,Human Resources,Company afforded many opportunities to learn and work on challenging projects.  Very good compensation and bonus programs.  Locations throughout the US as well as UK.,limited opportunities to move up unless someone resigns.  long term executive group.,N/A,1,1,1,4,4,4,,3,5,4,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2014,5,652,0,1,1,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,9/18/2014,Great job,"great pay, quarterly bonus,",very hot and greasy place to work,N/A,1,,,5,4,4,,4,4,4,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2014,9,656,0,1,2,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,11/25/2014,"Firth Rixson - the Good, the Bad and the Ugly","Nice small company.  All shop floor workers are very hard workers.
Previous CEO was way ahead of the game.  Knew everything from start to finish - Good man.
HR person has been the most enjoyable person to talk too.  She listened and also worked very hard.","company owned by investment firm.  thus, profits come before customer on-time deliveries.
example: your $10k job will be pushed back even though it's due at the end of the month.  the $20k job that's not due until the middle of next month will take your spot.  it's all about the money.
obnoxious sales manager.
silo environment.
environment (including the offices) were very dirty.  it's a forging plant so it's expected.",N/A,-1,0,,3,4,1,,3,3,5,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2014,11,658,0,1,2,34,38,0,0,3,0,0,0,0,0,3,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,12/31/2015,Manager,Great opportunities when organization first started. Was acquired by Alcoa in early 2015,has gone through four hr people in 5 years. complete changeover of management when acquired by alcoa.,N/A,,,,3,2,2,,1,4,2,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2015,12,671,0,1,2,34,38,0,0,1,0,0,0,0,0,1,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,10/16/2016,Supply Chain Manager,Good People who care about growing the business,high growth led to some long hours,N/A,1,1,1,4,4,4,,4,4,4,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2016,10,681,0,1,2,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,5/12/2017,Inspector,Lots of overtime. Great if you don't have a family life to consider.,too much overtime. horrible if you have a family life to consider.,N/A,-1,-1,1,2,1,1,,2,2,4,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2017,5,688,1,1,1,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,2/7/2018,Busy business,"Size is not too big, presence of affiliates makes it more interesting","little opportunities, not open to new ways",N/A,,,,1,1,1,,1,1,1,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2018,2,697,1,1,1,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,10/31/2018,Shipping dept Lead logistics coordinator,Made good money from all the over time you were mandated to work. Some weeks up to 80 hours a week,if you didn’t put in the mandatory 80 hours on month end you were threatened your job. many days of working 8am well into the next day at 4am go home sleep for 3 hours and go back in to do it again. people did it because they didn’t have time to look for another job. family life forget it they will never see you nor will you be able to be a parent while working there.,N/A,-1,-1,-1,1,1,1,,2,1,3,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2018,10,705,1,1,2,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
GB00138691,284,4/25/2021,Good,"Good pay, good freedom and benefits",i never experienced any restrictions or cons whilst working there,N/A,1,1,1,5,5,5,5,5,5,5,U1,Local registry filing,12,Unqualified,Local GAAP,,units,GBP,1,37146428,25675,15034097,22086655,90956173,34417836,12082597,44455740,611541,82957128,437648,82519479,828614,0,828614,828614,44316859,23363422,18096469,2856969,128102601,28403964,46639314,,88250922,83981808,4269114,492500,3776614,53685,12838,40847,3817461,780765,3036696,,,,3036696,61945337,,15679483,3847805,12838,,6884501,23357586,7624418,5,5,3,4,4,2,4,5,9,4,8,,,1,294,3,49,74,70,,2,1,100,65,,29,13,311,18,55,292,100,451,No,No,,,Firth Rixson Metals Limited,Johnson Lane,Ecclesfield,,,S35 9XH,Sheffield,United Kingdom,GB,,,South Yorkshire,England|Yorks & Humberside|Sheffield (S)|Sheffield,Country|Region|Postal area|Town,,,Enpar Special Alloys Limited,,,Private limited companies,Private limited company,No,,,Corporate,Unlisted,,Unlisted,,2021,4,735,1,1,1,34,38,0,0,0,0,0,0,0,0,0,1,1,1,0,,55,matched (3),1,,1,1,,1
